Id,Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2014-15_x,2015-16_x,2016-17_x,2017-18_x,2014-15_y,2015-16_y,2016-17_y,2017-18_y,2014-15,2015-16,2016-17,2017-18,2014-15%,2015-16%,2016-17%,2017-18%
76,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.4: Veterans' Community Care & Support,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Carer and volunteer support,1069,1067,1062,1057,1196,1398,1407,1410,127,331,345,353,0.118802619,0.310215558,0.324858757,0.333964049
77,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.6: Military Rehabilitation and Compensation Acts Payments - Income Support & Compensation,Departmental expenses,Departmental appropriation,Programme support,30761,30076,29072,29420,34404,37745,36713,35552,3643,7669,7641,6132,0.11842918,0.254987365,0.262830215,0.20842964
78,Health Portfolio,Department of Health,"Outcome 7: Health Infrastructure, Regulation, Safety and Quality",Programme expenses 7.2: Health information,Departmental expenses,Departmental appropriation,Programme support,1482,1438,1417,1462,1653,1495,1363,1360,171,57,-54,-102,0.115384615,0.039638387,-0.03810868,-0.069767442
79,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.6 Military Rehabilitation and Compensation Acts - Health & Other Care Services,Departmental expenses,Departmental appropriation,Programme support,19645,19344,18991,18451,17405,17208,16817,17087,-2240,-2136,-2174,-1364,-0.114023925,-0.110421836,-0.114475278,-0.073925532
80,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.11: Student Payments,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Austudy,596581,581670,625369,671482,660239,649970,648625,666007,63658,68300,23256,-5475,0.106704706,0.117420531,0.037187644,-0.008153607
81,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.3: Veterans' Pharmaceuticals Benefits,Departmental expenses,Departmental appropriation,Programme support,1547,1521,1498,1504,1383,1050,1032,1049,-164,-471,-466,-455,-0.106011635,-0.309664694,-0.311081442,-0.302526596
82,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.5: Supplementary Payments and Support for Income Support Recipients,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Utilities Allowance,16318,17038,17764,18359,14622,14937,15067,15318,-1696,-2101,-2697,-3041,-0.103934306,-0.123312595,-0.151823914,-0.16564083
83,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.4: Veterans' Community Care & Support,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Community nursing,152880,164188,178277,194872,137132,137478,138023,138988,-15748,-26710,-40254,-55884,-0.103008896,-0.162679368,-0.22579469,-0.286772856
84,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.10: Working Age Payments,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Youth Allowance (Other),982214,1339791,1590085,1470303,1082571,1033780,1639582,1717177,100357,-306011,49497,246874,0.102174272,-0.228402042,0.031128525,0.167906887
85,Communications Portfolio,Department of Communications,"Outcome 1: Promote an innovative and competitive communications sector, through policy development, advice and program delivery, so all Australians can realise the full potential of digital technologies and communications services",Programme 1.1: Digital Technologies and Communications Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Digital Television Switchover - Spectrum Restacking Assistance,52285,9460,0,0,46983,0,0,0,-5302,-9460,0,0,-0.101405757,-1,0,0
86,Health Portfolio,Department of Health,Outcome 6: Private Health,Programme expenses 6.1: Private health insurance,Administered expenses,Special appropriation,Private Health Insurance Act 2007 - risk equalisation trust fund,504376,557080,613372,673240,454107,557080,613372,673240,-50269,0,0,0,-0.099665726,0,0,0
87,Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.3: Forestry Industry,Administered expenses,Special appropriation,"Forestry Marketing and Research and Development Services Act 2007, s. 9(1) payments and matching payments to an industry services body and Commonwealth administration expenses",7860,8018,8178,8341,8643,8816,8993,9172,783,798,815,831,0.099618321,0.099526066,0.099657618,0.099628342
88,Social Services Portfolio,Department of Social Services,Outcome 2: Families and Communities,Programme 2.1: Families and Communities,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Financial Wellbeing and Capability,139131,164686,139887,135685,125404,100652,94271,99229,-13727,-64034,-45616,-36456,-0.098662412,-0.388824794,-0.326091774,-0.268681136
89,Health Portfolio,Department of Health,"Outcome 7: Health Infrastructure, Regulation, Safety and Quality",Programme expenses 7.5: Health infrastructure,Departmental expenses,Departmental appropriation,Programme support,10651,10393,10279,10496,9627,8722,7922,7906,-1024,-1671,-2357,-2590,-0.096141207,-0.160781295,-0.229302461,-0.246760671
90,Health Portfolio,Department of Health,"Outcome 7: Health Infrastructure, Regulation, Safety and Quality",Programme expenses 7.5: Health infrastructure,Administered expenses,Special account,Health and Hospital Fund Health Portfolio,795233,360238,70588,10318,719802,315944,129089,33987,-75431,-44294,58501,23669,-0.094853961,-0.1229576,0.828766929,2.293952316
91,Health Portfolio,Department of Health,Outcome 5: Primary Health Care,Programme expenses 5.5: Rural health services,Departmental expenses,Departmental appropriation,Programme support,5302,5148,5015,5082,4814,4339,3890,3811,-488,-809,-1125,-1271,-0.092040739,-0.157148407,-0.224327019,-0.250098386
92,Health Portfolio,Department of Health,Outcome 10: Sport and Recreation,Program expenses 10.1: Sport and Recreation,Departmental expenses,Departmental appropriation,Programme support,15366,8963,8845,9104,13961,11908,10465,10445,-1405,2945,1620,1341,-0.091435637,0.328573022,0.183154324,0.147297891
93,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.4: Assistance & Other Compensation for Veterans and Dependants,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Funeral benefits,11674,10965,10299,9673,10622,9018,7414,6100,-1052,-1947,-2885,-3573,-0.090114785,-0.177564979,-0.280124284,-0.369378683
94,Health Portfolio,Department of Health,Outcome 9: Biosecurity and Emergency Response,Programme expenses 9.1: Health Emergency Planning and Response,Departmental expenses,Departmental appropriation,Programme support,27345,26687,26377,27051,24892,22501,20546,20502,-2453,-4186,-5831,-6549,-0.089705613,-0.156855398,-0.221063806,-0.242098259
95,Environment Portfolio,Department of the Environment,"Outcome 4: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 4.2: Commonwealth Environmental Water,Administered expenses,Special Account,Environmental Water Holdings Special Account,26226,28021,29160,0,28493,29925,33636,4400,2267,1904,4476,4400,0.086440936,0.067949038,0.153497942,0
96,Foreign Affairs and Trade Portfolio,Tourism Australia,Outcome 1 - Grow demand and foster a competitive and sustainable Australian tourism industry through partnership marketing to targeted global consumers in key markets,Program 1: Supporting Outcome 1,Departmental expenses,"Ordinary annual services (Appropriation Bill No. 1), Funds from Portfolio Agency & Revenues from other independent sources ",Industry Development,24487,24452,24389,22458,22395,23711,23637,23872,-2092,-741,-752,1414,-0.085433087,-0.03030427,-0.030833573,0.062961973
97,Health Portfolio,Department of Health,"Outcome 7: Health Infrastructure, Regulation, Safety and Quality",Programme expenses 7.3: International policy engagement,Departmental expenses,Departmental appropriation,Programme support,12,12,12,12,13,12,11,11,1,0,-1,-1,0.083333333,0,-0.083333333,-0.083333333
98,Health Portfolio,Department of Health,Outcome 3: Access to Medical and Dental Services,Programme expenses 3.1: Medicare services,Departmental expenses,Departmental appropriation,Programme support,28352,24986,22767,22074,30714,27254,24522,22164,2362,2268,1755,90,0.083309819,0.090770832,0.077085255,0.004077195
99,Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1: Other Departmental DHOR,Departmental expenses,Departmental appropriation,1.1 - Chamber and Federation Chamber,3232,3265,3297,3330,2972,2948,2937,2882,-260,-317,-360,-448,-0.080445545,-0.097090352,-0.109190173,-0.134534535
100,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.12: Programme Support for Outcome 1,Departmental expenses,Departmental appropriation,Programme support,144094,137292,132674,134356,133282,103018,96359,90346,-10812,-34274,-36315,-44010,-0.075034353,-0.249643096,-0.273716026,-0.327562595
101,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.5: Veterans' Counselling and Other Health Services,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Non-institutional care - products,59607,56778,54631,53102,64076,62942,61822,60584,4469,6164,7191,7482,0.074974416,0.108563176,0.131628563,0.140898648
102,Communications Portfolio,Department of Communications,"Outcome 1: Promote an innovative and competitive communications sector, through policy development, advice and program delivery, so all Australians can realise the full potential of digital technologies and communications services",Programme 1.1: Digital Technologies and Communications Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Digital Television Switchover,10906,10997,10790,11016,11719,11997,10790,11016,813,1000,0,0,0.074546121,0.090933891,0,0
103,Health Portfolio,Department of Health,"Outcome 7: Health Infrastructure, Regulation, Safety and Quality",Programme 7.7: Regulatory policy,Departmental expenses,Special account,TGA Special Account,139215,135872,135259,138285,149392,140921,139039,137254,10177,5049,3780,-1031,0.073102755,0.037159974,0.027946384,-0.007455617
104,Health Portfolio,Department of Health,Outcome 6: Private Health,Programme expenses 6.1: Private health insurance,Departmental expenses,Departmental appropriation,Programme support,14553,13846,13624,13881,13516,12025,10995,10974,-1037,-1821,-2629,-2907,-0.071256786,-0.131518128,-0.192968291,-0.209422952
105,Social Services Portfolio,Department of Social Services,Outcome 5: Disability and Carers,Programme 5.3: Programme Support for Outcome 5,Departmental expenses,Departmental appropriation,Programme support,79078,73333,71174,72274,84398,90242,81124,74016,5320,16909,9950,1742,0.067275348,0.230578321,0.139798241,0.02410272
106,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.10: Working Age Payments,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Parenting Payment Single,4311467,4385801,4396361,4390676,4585937,4677229,4703731,4770617,274470,291428,307370,379941,0.063660466,0.066448067,0.069914641,0.0865336
107,Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1: Other Departmental DHOR,Departmental expenses,Departmental appropriation,1.3 - Committee Services,8293,8376,8215,8297,7772,7709,7679,7535,-521,-667,-536,-762,-0.062824068,-0.079632283,-0.0652465,-0.091840424
108,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.5: Veterans' Counselling and Other Health Services,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Subsistence,6892,6996,7095,7373,6465,6531,6614,6695,-427,-465,-481,-678,-0.061955891,-0.066466552,-0.067794221,-0.091957141
109,Social Services Portfolio,Department of Social Services,Outcome 3: Ageing and Aged Care,Programme 3.5: Workforce and Quality,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Workforce and Quality,111256,123293,126497,122397,104497,103415,104831,104484,-6759,-19878,-21666,-17913,-0.06075178,-0.161225698,-0.171276789,-0.146351626
110,Defence Portfolio,Defence Materiel Organisation,Outcome 1: Contributing to the preparedness of Australian Defence Organistion through acquisition and through-life support of military equipment and supplies,Programme 1.1 Management of Capability Acquisition,Departmental expenses,Departmental appropriation,Ordinary Annual Services (Appropriation Bill No. 1),285968,307254,338926,362256,302053.8,0,0,0,16085.8,-307254,-338926,-362256,0.05625035,-1,-1,-1
111,Attorney-General's Portfolio,Office of Parliamentary Counsel,"Outcome 1: A body of Commonwealth laws and instruments that give effect to intended policy, and that are coherent, readable and readily accessible, through the drafting and publication of those laws and instruments",Programme 1.1: Legislative drafting and publication,Departmental expenses,Departmental appropriation,Publicaton,4712,4701,4703,4755,4960,4923,4911,4943,248,222,208,188,0.052631579,0.047223995,0.044227089,0.039537329
112,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.10: Working Age Payments,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Newstart Allowance,9145078,9125250,8988021,9028907,9617598,10369666,9852346,9625474,472520,1244416,864325,596567,0.051669324,0.13637062,0.096164106,0.066073003
113,Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.10: Agricultural Resources,Administered expenses,Special appropriation,"Egg Industry Service Provision Act 2002, s. 8(1)",8171,8398,8585,8776,8579,8870,9009,9084,408,472,424,308,0.049932689,0.056203858,0.049388468,0.035095716
114,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.10: Working Age Payments,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Sickness Allowance,101707,104279,107183,109395,106784,108699,97877,100521,5077,4420,-9306,-8874,0.049917901,0.042386291,-0.08682347,-0.081118881
115,Defence Portfolio,Defence Materiel Organisation,Outcome 1: Contributing to the preparedness of Australian Defence Organistion through acquisition and through-life support of military equipment and supplies,Programme 1.3 Provision of Policy Advice and Management Services,Departmental expenses,Departmental appropriation,Ordinary Annual Services (Appropriation Bill No. 1),93307,90342,91324,100074,97869,0,0,0,4562,-90342,-91324,-100074,0.048892366,-1,-1,-1
116,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.5: Veterans' Counselling and Other Health Services,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Veterans and veterans' families counselling services,30499,31291,32653,34276,31969,32637,33952,35171,1470,1346,1299,895,0.048198302,0.043015564,0.03978195,0.026111565
117,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.11: Student Payments,Administered expenses,Special appropriations,Student Assistance Act 1973 - ABSTUDY - Tertiary,107001,102551,105110,106549,102249,114362,119887,127705,-4752,11811,14777,21156,-0.0444108,0.115171963,0.140586053,0.198556533
118,Defence Portfolio,Defence Materiel Organisation,Outcome 1: Contributing to the preparedness of Australian Defence Organistion through acquisition and through-life support of military equipment and supplies,Programme 1.2 Management of Capability Sustainment,Departmental expenses,Departmental appropriation,Ordinary Annual Services (Appropriation Bill No. 1),501756,515595,526083,527789,479760.2,0,0,0,-21995.8,-515595,-526083,-527789,-0.043837642,-1,-1,-1
119,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.4: Veterans' Community Care & Support,Departmental expenses,Departmental appropriation,Programme support,26220,26150,25643,25718,27368,28345,24843,25243,1148,2195,-800,-475,0.043783371,0.083938815,-0.031197598,-0.018469554
120,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.6 Military Rehabilitation and Compensation Acts - Health & Other Care Services,Administered expenses,Special appropriation,Military Rehabilitation and Compensation Act 2004 - Medical services,24449,28112,32327,32973,25515,29056,32612,36273,1066,944,285,3300,0.043600965,0.033579966,0.00881616,0.100081885
121,Health Portfolio,Department of Health,Outcome 5: Primary Health Care,Programme expenses 5.3: Aboriginal and Torres Strait Islander health,Departmental expenses,Departmental appropriation,Programme support,50358,49327,48762,50082,52545,47772,43632,43567,2187,-1555,-5130,-6515,0.043429048,-0.031524317,-0.105204873,-0.130086658
122,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.1:  General Medical Consultations and Services,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - LMO consultations,156057,153547,150674,149159,162777,164839,164384,162416,6720,11292,13710,13257,0.043061189,0.073541,0.090991146,0.088878311
123,Environment Portfolio,Department of the Environment,"Outcome 4: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 4.1: Water Reform,Departmental expenses,Departmental appropriation,Science Based Framework for Coal Seam Gas and Coal Mining Impacts on Water,25656,25132,11024,11216,24582,24066,10364,10606,-1074,-1066,-660,-610,-0.041861553,-0.042416043,-0.059869376,-0.054386591
124,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.4: Assistance & Other Compensation for Veterans and Dependants,Departmental expenses,Special Account,DSHIS,36757,39452,42343,45447,35343,36150,36750,37350,-1414,-3302,-5593,-8097,-0.038468863,-0.083696644,-0.132087948,-0.178163575
125,Health Portfolio,Department of Health,Outcome 2: Access to Pharmaceutical Services,Programme expenses 2.4: Targeted assistance - aids and appliances,Administered expenses,Special appropriation,National Health Act 1953 - aids and appliances,324988,349091,352568,356179,312898,346427,295858,302057,-12090,-2664,-56710,-54122,-0.037201374,-0.007631248,-0.160848404,-0.151951687
126,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.10: Working Age Payments,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Widow Allowance,340372,303069,260464,216304,352985,310295,263908,213834,12613,7226,3444,-2470,0.037056515,0.023842755,0.013222557,-0.011419114
127,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.1:  General Medical Consultations and Services,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Dental,102574,100456,100258,99571,106149,104448,98348,94116,3575,3992,-1910,-5455,0.034852887,0.039738791,-0.019050849,-0.054785028
128,Social Services Portfolio,Department of Social Services,Outcome 2: Families and Communities,Programme 2.2: Paid Parental Leave,Administered expenses,Special appropriations,Paid Parental Leave Act 2010 - Parental Leave Pay,1823906,1894839,1965014,2039544,1885679,1968046,1531488,1484476,61773,73207,-433526,-555068,0.033868522,0.038634945,-0.220622347,-0.272152991
129,Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.8: Dairy Industry,Administered expenses,Special appropriation,"Dairy Produce Act 1986, s. 6(1)",52822,53993,54315,55628,54593,56246,56638,57981,1771,2253,2323,2353,0.033527697,0.041727631,0.042769032,0.042298842
130,Defence Portfolio,Defence Materiel Organisation,Outcome 1: Contributing to the preparedness of Australian Defence Organistion through acquisition and through-life support of military equipment and supplies,Programme 1.2 Management of Capability Sustainment,Departmental expenses,Special Account,Defence Materiel Special Account,5648945,5977147,6254682,6563361,5466173,0,0,0,-182772,-5977147,-6254682,-6563361,-0.032355068,-1,-1,-1
131,Social Services Portfolio,Department of Social Services,Outcome 3: Ageing and Aged Care,Programme 3.7: Programme Support for Outcome 3,Departmental expenses,Departmental appropriation,Programme support,202950,186925,180904,183973,209094,201742,185762,175456,6144,14817,4858,-8517,0.030273466,0.079267086,0.026854022,-0.046294837
132,Social Services Portfolio,Department of Social Services,Outcome 3: Ageing and Aged Care,Programme 3.6: Ageing and Service Improvement,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Ageing and Service Improvement,91814,102791,114950,104096,94542,110648,121157,105162,2728,7857,6207,1066,0.029712244,0.076436653,0.05399739,0.010240547
133,Health Portfolio,Department of Health,"Outcome 7: Health Infrastructure, Regulation, Safety and Quality",Programme expenses 7.1: e-Health implementation,Departmental expenses,Departmental appropriation,Programme support,23825,12785,11708,11351,23127,20829,10515,10577,-698,8044,-1193,-774,-0.029296957,0.629174814,-0.101896139,-0.068187825
134,Social Services Portfolio,Department of Social Services,Outcome 2: Families and Communities,Programme 2.2: Paid Parental Leave,Administered expenses,Special appropriations,Paid Parental Leave Act 2010 - Dad and Partner Pay,97234,100568,103771,108041,94448,98287,103120,107363,-2786,-2281,-651,-678,-0.028652529,-0.022681171,-0.006273429,-0.006275395
135,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.11: Student Payments,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Youth Allowance (student),2568192,2488900,2506621,2591751,2496548,2272918,2284933,2317482,-71644,-215982,-221688,-274269,-0.027896668,-0.086778095,-0.088440973,-0.105823823
136,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.2: Veterans' Hospital Services,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Private hospitals,862495,848724,835993,838276,885585,875506,873979,870335,23090,26782,37986,32059,0.02677117,0.031555606,0.04543818,0.038243967
137,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.1:  Veterans' Income Support and Allowances,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Income support pensions,2703397,2629824,2547316,2435514,2632032,2525704,2439866,2326044,-71365,-104120,-107450,-109470,-0.026398269,-0.039592003,-0.042181653,-0.044947391
138,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.5: Veterans' Counselling and Other Health Services,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Rehabilitation appliances,178500,182479,186182,190416,174019,169832,171684,173979,-4481,-12647,-14498,-16437,-0.025103641,-0.069306605,-0.077870041,-0.086321528
139,Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.9: Meat and Livestock Industry,Administered expenses,Special appropriation,"Pig Industry Act 2001, s. 10(1)",18424,18565,19834,19975,18880,19425,22190,22205,456,860,2356,2230,0.024750326,0.046323727,0.118785923,0.111639549
140,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.3: Assistance to Defence Widow/ers and Dependants,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - War & Defence Widow/ers pension,1811869,1744259,1651407,1539065,1768189,1674788,1577165,1460725,-43680,-69471,-74242,-78340,-0.024107703,-0.039828374,-0.044956816,-0.050901034
141,Social Services Portfolio,Department of Social Services,Outcome 3: Ageing and Aged Care,Programme 3.1: Access and Information,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Access and Information,137128,133847,137226,143056,133826,129371,144012,149266,-3302,-4476,6786,6210,-0.024079692,-0.033441168,0.04945127,0.043409574
142,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.6: Military Rehabilitation and Compensation Acts Payments - Income Support & Compensation,Administered expenses,Special Account,Military death claim compensation,215,270,235,581,220,282,246,619,5,12,11,38,0.023255814,0.044444444,0.046808511,0.065404475
143,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.6: Military Rehabilitation and Compensation Acts Payments - Income Support & Compensation,Administered expenses,Special appropriation,"Safety, Rehabilitation and Compensation Act 1988 - Death payments",2721,2590,2464,2542,2660,2516,2384,2452,-61,-74,-80,-90,-0.022418229,-0.028571429,-0.032467532,-0.035405193
144,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.9: Income Support for Carers,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Carer Payment,4689026,5163509,5739287,6327445,4584927,5039393,5574166,6091589,-104099,-124116,-165121,-235856,-0.022200559,-0.024037142,-0.028770298,-0.037275077
145,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.10: Working Age Payments,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Parenting Payment Partnered,1009626,1027809,1030742,1016890,1031888,1045215,1050371,1070504,22262,17406,19629,53614,0.022049749,0.016935053,0.019043563,0.0527235
146,Communications Portfolio,Department of Communications,"Outcome 1: Promote an innovative and competitive communications sector, through policy development, advice and program delivery, so all Australians can realise the full potential of digital technologies and communications services",Programme 1.1: Digital Technologies and Communications Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Consumer Representation Grants Program,2212,2253,2304,2352,2164,2163,2165,2164,-48,-90,-139,-188,-0.021699819,-0.039946738,-0.060329861,-0.079931973
147,Health Portfolio,Department of Health,Outcome 6: Private Health,Programme expenses 6.1: Private health insurance,Administered expenses,Special appropriation,Private Health Insurance Act 2007 - private health insurance rebate,5788508,5999198,6250290,6504143,5913293,6122000,6365633,6618096,124785,122802,115343,113953,0.021557368,0.020469736,0.018454024,0.017520064
148,Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Agricultural and Veterinary Chemicals Minor Use Program,145,148,151,154,142,143,143,144,-3,-5,-8,-10,-0.020689655,-0.033783784,-0.052980132,-0.064935065
149,Health Portfolio,Department of Health,Outcome 2: Access to Pharmaceutical Services,Programme expenses 2.2: Pharmaceutical and pharmaceutical services,Departmental expenses,Departmental appropriation,Programme support,46580,44393,43833,44606,47529,42153,39186,38403,949,-2240,-4647,-6203,0.020373551,-0.050458406,-0.106016015,-0.13906201
150,Attorney-General's Portfolio,Office of Parliamentary Counsel,"Outcome 1: A body of Commonwealth laws and instruments that give effect to intended policy, and that are coherent, readable and readily accessible, through the drafting and publication of those laws and instruments",Programme 1.1: Legislative drafting and publication,Departmental expenses,Departmental appropriation,Legislation,10640,10616,10619,10736,10848,10770,10743,10814,208,154,124,78,0.019548872,0.014506405,0.011677182,0.007265276
